agent_related,hamper_type,Creator,dependents_qty,household,preferred_contact_methods,preferred_languages,year_month,dw,age_group,days_since_last_pickup,days_diff_scheduled_actual,rescheduled_flag,month,total_visits,avg_days_between_pickups,is_single_pickup,return_binary,latitude,longitude,distance_to_center,sex_Male,status_Closed,status_Flagged,status_Outreach,status_Pending,location_cluster_1,location_cluster_2,location_cluster_3,location_cluster_4
1,1,1,1.0,1,SMS,English,2024-04,1,"[35, 40)",0,0,1,4,2,13.0,,Yes,53.5930843,-113.49162,5.036257522101492,False,False,False,False,False,False,True,False,False
1,1,1,1.0,1,SMS,English,2024-05,1,"[35, 40)",13,-16,1,5,2,13.0,,No,53.5930843,-113.49162,5.036257522101492,False,False,False,False,False,False,True,False,False
1,1,1,1.0,1,SMS,"English , Somali",2024-05,1,"[35, 40)",0,13,1,5,6,19.6,,Yes,53.5772506,-113.4915449,3.3248005821055724,True,False,False,False,False,False,True,False,False
1,1,1,1.0,1,SMS,"English , Somali",2024-05,1,"[35, 40)",29,13,1,5,6,19.6,,Yes,53.5772506,-113.4915449,3.3248005821055724,True,False,False,False,False,False,True,False,False
1,1,2,1.0,1,SMS,"English , Somali",2024-05,1,"[35, 40)",0,13,1,5,6,19.6,,Yes,53.5772506,-113.4915449,3.3248005821055724,True,False,False,False,False,False,True,False,False
1,1,1,1.0,1,SMS,"English , Somali",2024-07,1,"[35, 40)",38,-10,1,7,6,19.6,,Yes,53.5772506,-113.4915449,3.3248005821055724,True,False,False,False,False,False,True,False,False
1,1,2,1.0,1,SMS,"English , Somali",2024-07,1,"[35, 40)",0,-10,1,7,6,19.6,,Yes,53.5772506,-113.4915449,3.3248005821055724,True,False,False,False,False,False,True,False,False
1,1,1,1.0,1,SMS,"English , Somali",2024-08,1,"[35, 40)",31,-9,1,8,6,19.6,,No,53.5772506,-113.4915449,3.3248005821055724,True,False,False,False,False,False,True,False,False
2,1,3,1.0,1,"WhatsApp , SMS",English,2023-11,1,"[35, 40)",0,0,1,11,2,0.0,,Yes,53.547339,-113.5058219,0.1485321168673009,True,False,False,False,False,False,False,False,False
2,1,3,1.0,1,"WhatsApp , SMS",English,2023-11,1,"[35, 40)",0,-30,1,11,2,0.0,,No,53.547339,-113.5058219,0.1485321168673009,True,False,False,False,False,False,False,False,False
3,1,4,6.0,1,"WhatsApp , Phone Call",Arabic,2023-11,1,"[35, 40)",60,0,1,11,4,73.66666666666667,,Yes,53.6091646,-113.4607291,7.373997378978506,True,False,False,False,False,False,True,False,False
4,1,5,6.0,1,"WhatsApp , Phone Call",Arabic,2023-11,1,"[35, 40)",9,0,1,11,4,73.66666666666667,,No,53.6091646,-113.4607291,7.373997378978506,True,False,False,False,False,False,True,False,False
4,1,5,6.0,1,"WhatsApp , Phone Call",Arabic,2024-04,1,"[35, 40)",152,1,1,4,4,73.66666666666667,,No,53.6091646,-113.4607291,7.373997378978506,True,False,False,False,False,False,True,False,False
5,1,6,5.0,1,"SMS , Phone Call , Email","Arabic , French",2023-11,1,"[30, 35)",69,0,1,11,3,49.0,,Yes,53.4100978,-113.5233117,15.463878556337733,True,False,False,False,False,False,False,False,True
5,1,6,5.0,1,"SMS , Phone Call , Email","Arabic , French",2023-12,1,"[30, 35)",29,0,1,12,3,49.0,,No,53.4100978,-113.5233117,15.463878556337733,True,False,False,False,False,False,False,False,True
